Player,Tm,PTS,TRB,AST,Date
Cade Cunningham,DET,20,10,10,2024-11-06
Bam Adebayo,MIA,12,12,6,2024-11-06
Tyrese Haliburton,IND,17,3,4,2024-11-06
Luguentz Dort,OKC,11,6,3,2024-11-06
Alperen Sengun,HOU,16,5,4,2024-11-06
Darius Garland,CLE,14,1,9,2024-11-06
Brandon Ingram,NOP,20,5,5,2024-11-06
Chris Boucher,TOR,17,4,0,2024-11-06
Santi Aldama,MEM,11,12,3,2024-11-06
Brandon Boston,NOP,14,2,5,2024-11-06
Tari Eason,HOU,12,4,1,2024-11-06
Buddy Hield,GSW,16,6,1,2024-11-06
OG Anunoby,NYK,15,6,3,2024-11-06
Pascal Siakam,IND,17,4,3,2024-11-06
Ty Jerome,CLE,11,3,5,2024-11-06
T.J. McConnell,IND,15,0,5,2024-11-06
Jimmy Butler,MIA,15,7,3,2024-11-06
Kentavious Caldwell-Pope,ORL,13,5,2,2024-11-06
Amen Thompson,HOU,8,6,4,2024-11-06
Jalen Suggs,ORL,15,5,6,2024-11-06
Javonte Green,NOP,11,3,0,2024-11-06
Neemias Queta,BOS,14,8,0,2024-11-06
Paul Reed,DET,13,2,0,2024-11-06
Brandon Miller,CHO,19,6,4,2024-11-06
De'Aaron Fox,SAC,21,1,2,2024-11-06
Anthony Black,ORL,12,0,6,2024-11-06
Sandro Mamukelashvili,SAS,10,7,1,2024-11-06
Kelly Oubre,PHI,18,2,3,2024-11-06
James Harden,LAC,18,4,6,2024-11-06
Keldon Johnson,SAS,10,4,1,2024-11-06
Evan Mobley,CLE,15,9,3,2024-11-06
Ja Morant,MEM,20,4,5,2024-11-06
Tobias Harris,DET,14,7,3,2024-11-06
Scotty Pippen,MEM,14,6,4,2024-11-06
Goga Bitadze,ORL,10,12,2,2024-11-06
Jalen Brunson,NYK,21,3,4,2024-11-06
Kyle Anderson,GSW,11,5,4,2024-11-06
Jay Huff,MEM,11,3,4,2024-11-06
Jabari Smith,HOU,12,4,0,2024-11-06
Aaron Wiggins,OKC,13,2,1,2024-11-06
Moses Moody,GSW,9,6,0,2024-11-06
Jakob Poeltl,TOR,10,8,4,2024-11-06
Moritz Wagner,ORL,14,1,1,2024-11-06
Myles Turner,IND,17,10,2,2024-11-06
Grant Williams,CHO,12,7,2,2024-11-06
Keon Ellis,SAC,8,3,1,2024-11-06
Tim Hardaway,DET,13,3,3,2024-11-06
Isaiah Joe,OKC,11,5,3,2024-11-06
Andre Drummond,PHI,9,10,1,2024-11-06
Isaac Okoro,CLE,7,4,3,2024-11-06
Jonathan Isaac,ORL,9,6,0,2024-11-06
KJ Martin,PHI,10,4,0,2024-11-06
Garrison Mathews,ATL,9,3,2,2024-11-06
Klay Thompson,DAL,13,6,1,2024-11-06
Payton Pritchard,BOS,16,3,3,2024-11-06
Al Horford,BOS,10,7,3,2024-11-06
Victor Wembanyama,SAS,15,6,0,2024-11-06
Dwight Powell,DAL,5,5,3,2024-11-06
Ochai Agbaji,TOR,12,2,2,2024-11-06
Amir Coffey,LAC,11,3,0,2024-11-06
Yves Missi,NOP,10,4,0,2024-11-06
Malik Monk,SAC,13,5,1,2024-11-06
Talen Horton-Tucker,CHI,8,2,4,2024-11-06
Cody Martin,CHO,7,4,3,2024-11-06
Julian Champagnie,SAS,13,3,2,2024-11-06
Caleb Martin,PHI,14,2,2,2024-11-06
Max Christie,LAL,8,3,3,2024-11-06
Simone Fontecchio,DET,7,5,1,2024-11-06
Chet Holmgren,OKC,15,10,0,2024-11-06
Malaki Branham,SAS,10,4,2,2024-11-06
D'Angelo Russell,LAL,12,1,3,2024-11-06
Isaiah Stewart,DET,6,7,6,2024-11-06
Nicolas Batum,LAC,7,2,0,2024-11-06
Dalen Terry,CHI,10,4,1,2024-11-06
Kevon Looney,GSW,6,10,0,2024-11-06
Jonathan Mogbo,TOR,5,5,3,2024-11-06
Jock Landale,HOU,11,6,0,2024-11-06
Royce O'Neale,PHO,6,7,2,2024-11-06
Kevin Huerter,SAC,11,4,2,2024-11-06
Naji Marshall,DAL,8,2,2,2024-11-06
Alec Burks,MIA,5,2,4,2024-11-06
Peyton Watson,DEN,10,3,3,2024-11-06
Mikal Bridges,NYK,10,2,5,2024-11-06
Georges Niang,CLE,9,2,2,2024-11-06
Chris Paul,SAS,10,2,4,2024-11-06
Draymond Green,GSW,9,6,4,2024-11-06
Quentin Grimes,DAL,7,6,2,2024-11-06
Jrue Holiday,BOS,6,9,8,2024-11-06
Terance Mann,LAC,7,2,2,2024-11-06
Chris Duarte,CHI,7,2,1,2024-11-06
Jaxson Hayes,LAL,8,10,1,2024-11-06
Ousmane Dieng,OKC,6,4,0,2024-11-06
Taj Gibson,CHO,7,4,0,2024-11-06
Dillon Brooks,HOU,10,2,0,2024-11-06
Mason Plumlee,PHO,4,3,2,2024-11-06
Gary Payton,GSW,6,3,1,2024-11-06
Andrew Wiggins,GSW,16,2,0,2024-11-06
Ron Holland,DET,8,4,0,2024-11-06
Julian Phillips,CHI,8,2,0,2024-11-06
Bradley Beal,PHO,7,2,3,2024-11-06
Kel'el Ware,MIA,7,3,0,2024-11-06
Kris Dunn,LAC,4,1,5,2024-11-06
Jeff Green,HOU,5,1,0,2024-11-06
Trayce Jackson-Davis,GSW,8,2,1,2024-11-06
Ryan Dunn,PHO,7,1,1,2024-11-06
Zach Edey,MEM,8,7,0,2024-11-06
Josh Giddey,CHI,10,3,6,2024-11-06
Jaden Hardy,DAL,11,0,2,2024-11-06
Duncan Robinson,MIA,9,1,0,2024-11-06
Alex Len,SAC,3,6,0,2024-11-06
Grayson Allen,PHO,12,2,0,2024-11-06
Jevon Carter,CHI,5,2,0,2024-11-06
Tyus Jones,PHO,5,1,8,2024-11-06
Terry Rozier,MIA,7,7,5,2024-11-06
Julian Strawther,DEN,9,5,6,2024-11-06
Jared McCain,PHI,5,1,2,2024-11-06
Charles Bassey,SAS,6,6,0,2024-11-06
Jeremiah Robinson-Earl,NOP,4,5,1,2024-11-06
Sam Hauser,BOS,6,5,1,2024-11-06
Tyler Kolek,NYK,6,0,1,2024-11-06
Alex Caruso,OKC,2,6,4,2024-11-06
Luke Kennard,MEM,6,1,2,2024-11-06
Sidy Cissoko,SAS,5,2,2,2024-11-06
Ricky Council,PHI,7,1,0,2024-11-06
Jonathan Kuminga,GSW,10,4,1,2024-11-06
Jordan Hawkins,NOP,7,4,1,2024-11-06
Craig Porter,CLE,5,1,0,2024-11-06
Onyeka Okongwu,ATL,2,4,5,2024-11-06
Cam Whitmore,HOU,4,1,1,2024-11-06
Sam Merrill,CLE,9,2,0,2024-11-06
Patrick Williams,CHI,8,6,1,2024-11-06
Malik Beasley,DET,5,1,5,2024-11-06
Ben Sheppard,IND,6,0,0,2024-11-06
Stephon Castle,SAS,5,2,0,2024-11-06
Zach Collins,SAS,6,1,3,2024-11-06
Nikola Jović,MIA,4,1,0,2024-11-06
Luke Kornet,BOS,2,3,2,2024-11-06
Moussa Diabaté,CHO,4,5,0,2024-11-06
Brandon Clarke,MEM,6,3,0,2024-11-06
Andrew Nembhard,IND,5,2,5,2024-11-06
Gary Harris,ORL,5,1,0,2024-11-06
Tidjane Salaün,CHO,3,1,0,2024-11-06
Reed Sheppard,HOU,5,2,3,2024-11-06
Obi Toppin,IND,4,0,1,2024-11-06
Guerschon Yabusele,PHI,4,1,0,2024-11-06
Tristan Da Silva,ORL,5,0,3,2024-11-06
Ajay Mitchell,OKC,3,0,1,2024-11-06
Jamal Shead,TOR,5,1,2,2024-11-06
Keaton Wallace,ATL,7,0,0,2024-11-06
Pelle Larsson,MIA,6,0,3,2024-11-06
Jazian Gortman,DAL,3,0,0,2024-11-06
Tyrese Maxey,PHI,12,1,1,2024-11-06
Zeke Nnaji,DEN,3,2,0,2024-11-06
Christian Koloko,LAL,2,2,0,2024-11-06
Gradey Dick,TOR,7,4,2,2024-11-06
Brandon Williams,DAL,2,2,1,2024-11-06
Tre Mann,CHO,4,3,2,2024-11-06
Kobe Brown,LAC,2,0,0,2024-11-06
Jae'Sean Tate,HOU,2,1,1,2024-11-06
Dalton Knecht,LAL,3,4,2,2024-11-06
Markieff Morris,DAL,0,2,2,2024-11-06
David Duke,SAS,3,0,2,2024-11-06
David Roddy,ATL,0,2,1,2024-11-06
Bones Hyland,LAC,2,1,0,2024-11-06
Dyson Daniels,ATL,6,5,2,2024-11-06
Jericho Sims,NYK,0,2,0,2024-11-06
Blake Wesley,SAS,5,0,2,2024-11-06
Reggie Jackson,PHI,0,0,2,2024-11-06
Cason Wallace,OKC,4,2,2,2024-11-06
Jordan Walsh,BOS,0,2,0,2024-11-06
Ja'Kobe Walter,TOR,2,1,0,2024-11-06
Jalen Duren,DET,0,3,1,2024-11-06
Jamison Battle,TOR,6,2,2,2024-11-06
Kai Jones,LAC,2,0,0,2024-11-06
Yuki Kawamura,MEM,2,0,0,2024-11-06
Trey Lyles,SAC,0,1,1,2024-11-06
Doug McDermott,SAC,0,1,0,2024-11-06
Bronny James,LAL,2,0,0,2024-11-06
Olivier-Maxence Prosper,DAL,6,1,0,2024-11-06
Coby White,CHI,8,1,5,2024-11-06
Adem Bona,PHI,0,0,0,2024-11-06
Jamal Cain,NOP,0,0,0,2024-11-06
Colby Jones,SAC,0,0,0,2024-11-06
Kyle Lowry,PHI,0,2,4,2024-11-06
Riley Minix,SAS,0,2,0,2024-11-06
Kevin Porter,LAC,2,2,3,2024-11-06
Lindy Waters,GSW,0,2,1,2024-11-06
Torrey Craig,CHI,0,0,0,2024-11-06
Bruno Fernando,TOR,0,1,1,2024-11-06
Aaron Holiday,HOU,0,1,0,2024-11-06
Hunter Tyson,DEN,2,4,0,2024-11-06
Gabe Vincent,LAL,6,1,1,2024-11-06
Isaac Jones,SAC,0,0,0,2024-11-06
Colin Castleton,MEM,0,0,0,2024-11-06
Ayo Dosunmu,CHI,6,5,4,2024-11-06
Harrison Ingram,SAS,0,1,0,2024-11-06
Daniel Theis,NOP,0,0,0,2024-11-06
Jalen Smith,CHI,2,5,0,2024-11-06
Spencer Dinwiddie,DAL,3,3,4,2024-11-06
Harrison Barnes,SAS,2,1,1,2024-11-06
Seth Curry,CHO,0,2,0,2024-11-06
Kessler Edwards,DAL,0,0,0,2024-11-06
Jordan Miller,LAC,0,0,0,2024-11-06
Jordan McLaughlin,SAC,0,1,0,2024-11-06
Jack McVeigh,HOU,0,0,0,2024-11-06
Eric Gordon,PHI,1,1,2,2024-11-06
Josh Green,CHO,0,2,1,2024-11-06
Jett Howard,ORL,0,0,0,2024-11-06
Damian Lillard,MIL,34,4,7,2024-11-07
Anthony Edwards,MIN,33,8,6,2024-11-07
Giannis Antetokounmpo,MIL,31,16,2,2024-11-07
Rudy Gobert,MIN,21,9,3,2024-11-07
Nikola Vučević,CHI,25,5,2,2024-11-07
Deandre Ayton,POR,21,10,0,2024-11-07
Coby White,CHI,24,0,8,2024-11-07
Mike Conley,MIN,14,2,11,2024-11-07
Julius Randle,MIN,22,10,3,2024-11-07
Jaden McDaniels,MIN,19,2,0,2024-11-07
Keldon Johnson,SAS,17,11,3,2024-11-07
Blake Wesley,SAS,10,1,8,2024-11-07
Malaki Branham,SAS,17,1,3,2024-11-07
Stephon Castle,SAS,14,3,6,2024-11-07
Jerami Grant,POR,21,3,1,2024-11-07
Bobby Portis,MIL,19,6,0,2024-11-07
Anfernee Simons,POR,19,0,7,2024-11-07
Julian Champagnie,SAS,14,6,2,2024-11-07
Josh Giddey,CHI,9,6,13,2024-11-07
Zach Collins,SAS,14,2,3,2024-11-07
Talen Horton-Tucker,CHI,13,5,2,2024-11-07
Andre Jackson,MIL,7,3,4,2024-11-07
Deni Avdija,POR,9,7,5,2024-11-07
Jordan Clarkson,UTA,18,4,2,2024-11-07
Johnny Juzang,UTA,12,1,1,2024-11-07
A.J. Green,MIL,12,0,2,2024-11-07
Victor Wembanyama,SAS,12,8,2,2024-11-07
Donte DiVincenzo,MIN,13,4,4,2024-11-07
Shaedon Sharpe,POR,13,2,1,2024-11-07
Collin Sexton,UTA,14,2,7,2024-11-07
Ayo Dosunmu,CHI,13,3,2,2024-11-07
Harrison Barnes,SAS,11,7,2,2024-11-07
Patrick Williams,CHI,12,0,1,2024-11-07
Chris Paul,SAS,6,2,6,2024-11-07
Jalen Smith,CHI,9,6,0,2024-11-07
Walker Kessler,UTA,6,8,0,2024-11-07
Lauri Markkanen,UTA,8,7,4,2024-11-07
Scoot Henderson,POR,11,3,3,2024-11-07
Taurean Prince,MIL,6,4,1,2024-11-07
Dalen Terry,CHI,6,3,1,2024-11-07
Julian Phillips,CHI,6,1,0,2024-11-07
Brice Sensabaugh,UTA,6,1,0,2024-11-07
Drew Eubanks,UTA,4,7,2,2024-11-07
John Collins,UTA,11,3,1,2024-11-07
Terrence Shannon,MIN,4,0,0,2024-11-07
Patty Mills,UTA,5,1,2,2024-11-07
Cody Williams,UTA,6,2,1,2024-11-07
Ryan Rollins,MIL,2,1,1,2024-11-07
Keyonte George,UTA,10,3,3,2024-11-07
Donovan Clingan,POR,0,4,2,2024-11-07
Stanley Umude,MIL,3,0,0,2024-11-07
Jabari Walker,POR,3,0,0,2024-11-07
Matas Buzelis,CHI,2,3,0,2024-11-07
Dalano Banton,POR,4,3,3,2024-11-07
Brook Lopez,MIL,1,5,2,2024-11-07
Toumani Camara,POR,4,9,1,2024-11-07
Sandro Mamukelashvili,SAS,3,3,0,2024-11-07
Nickeil Alexander-Walker,MIN,5,1,0,2024-11-07
Naz Reid,MIN,4,2,1,2024-11-07
Pat Connaughton,MIL,3,0,1,2024-11-07
Jevon Carter,CHI,0,0,1,2024-11-07
Rob Dillingham,MIN,0,0,1,2024-11-07
MarJon Beauchamp,MIL,2,2,0,2024-11-07
Sidy Cissoko,SAS,0,1,0,2024-11-07
Charles Bassey,SAS,0,0,0,2024-11-07
PJ Dozier,MIN,0,0,0,2024-11-07
Kris Murray,POR,0,0,0,2024-11-07
Duop Reath,POR,0,0,0,2024-11-07
Liam Robbins,MIL,1,0,0,2024-11-07
Chris Duarte,CHI,0,0,0,2024-11-07
Kyle Filipowski,UTA,0,0,0,2024-11-07
Luka Garza,MIN,0,1,0,2024-11-07
Rayan Rupert,POR,0,0,0,2024-11-07
Tyler Smith,MIL,0,0,0,2024-11-07
Gary Trent,MIL,2,0,0,2024-11-07
Isaiah Collier,UTA,0,0,1,2024-11-07
Josh Minott,MIN,0,1,0,2024-11-07
