Player,Tm,PTS,TRB,AST,Date
Draymond Green,GSW,3,3,7,2024-10-29
Brice Sensabaugh,UTA,11,3,1,2024-10-29
Kevon Looney,GSW,4,9,2,2024-10-29
Cody Williams,UTA,9,0,2,2024-10-29
Keon Ellis,SAC,5,4,2,2024-10-29
Keyonte George,UTA,10,4,11,2024-10-29
Naji Marshall,DAL,4,3,3,2024-10-29
Trayce Jackson-Davis,GSW,3,2,5,2024-10-29
Quentin Grimes,DAL,9,1,0,2024-10-29
Trey Lyles,SAC,2,7,1,2024-10-29
Jose Alvarado,NOP,6,0,4,2024-10-29
Daniel Theis,NOP,5,7,3,2024-10-29
Javonte Green,NOP,3,6,1,2024-10-29
Julian Strawther,DEN,7,4,0,2024-10-29
Gary Payton,GSW,7,1,0,2024-10-29
Rudy Gobert,MIN,7,8,1,2024-10-29
Donte DiVincenzo,MIN,3,2,6,2024-10-29
Herbert Jones,NOP,5,3,0,2024-10-29
Jeremiah Robinson-Earl,NOP,5,1,0,2024-10-29
Lauri Markkanen,UTA,7,3,1,2024-10-29
Klay Thompson,DAL,7,0,1,2024-10-29
Peyton Watson,DEN,7,2,0,2024-10-29
Alex Len,SAC,2,4,0,2024-10-29
CJ McCollum,NOP,5,6,5,2024-10-29
Jamal Cain,NOP,3,0,0,2024-10-29
Pat Spencer,GSW,4,0,0,2024-10-29
Dario Šarić,DEN,3,2,0,2024-10-29
Kyle Anderson,GSW,1,2,4,2024-10-29
Malik Monk,SAC,7,4,3,2024-10-29
Shake Milton,BRK,3,1,2,2024-10-29
Jaden Hardy,DAL,2,1,1,2024-10-29
Reece Beekman,GSW,0,0,1,2024-10-29
Patty Mills,UTA,0,1,0,2024-10-29
Spencer Dinwiddie,DAL,3,2,2,2024-10-29
Brandon Boston,NOP,0,0,1,2024-10-29
Drew Eubanks,UTA,0,1,1,2024-10-29
Jordan McLaughlin,SAC,0,0,1,2024-10-29
Noah Clowney,BRK,0,3,1,2024-10-29
Joe Ingles,MIN,0,0,1,2024-10-29
Colby Jones,SAC,0,0,0,2024-10-29
Gui Santos,GSW,0,0,1,2024-10-29
Doug McDermott,SAC,2,0,0,2024-10-29
Keon Johnson,BRK,0,1,0,2024-10-29
Johnny Juzang,UTA,0,0,0,2024-10-29
Jordan Hawkins,NOP,4,2,1,2024-10-29
Isaac Jones,SAC,0,0,0,2024-10-29
Collin Sexton,UTA,4,2,1,2024-10-29
Karl-Anthony Towns,NYK,44,13,2,2024-10-30
Dennis Schröder,BRK,33,2,8,2024-10-30
Trae Young,ATL,35,4,15,2024-10-30
Tyler Herro,MIA,34,5,7,2024-10-30
Nick Richards,CHO,24,14,4,2024-10-30
Jayson Tatum,BOS,37,8,4,2024-10-30
Bilal Coulibaly,WAS,27,9,1,2024-10-30
RJ Barrett,TOR,31,4,8,2024-10-30
Jaren Jackson,MEM,30,4,0,2024-10-30
Tyrese Maxey,PHI,32,3,7,2024-10-30
Pascal Siakam,IND,29,11,5,2024-10-30
Bennedict Mathurin,IND,30,11,4,2024-10-30
Jarrett Allen,CLE,20,17,1,2024-10-30
Cody Martin,CHO,25,4,2,2024-10-30
Jakob Poeltl,TOR,20,16,2,2024-10-30
Norman Powell,LAC,30,5,2,2024-10-30
Luguentz Dort,OKC,20,6,1,2024-10-30
Gradey Dick,TOR,30,2,1,2024-10-30
Jonas Valančiūnas,WAS,22,8,6,2024-10-30
Josh Giddey,CHI,20,11,5,2024-10-30
Donovan Mitchell,CLE,24,3,7,2024-10-30
Derrick White,BOS,23,3,1,2024-10-30
Paolo Banchero,ORL,31,7,4,2024-10-30
Tre Mann,CHO,27,1,4,2024-10-30
Jalen Johnson,ATL,21,17,4,2024-10-30
LeBron James,LAL,26,6,3,2024-10-30
Jordan Poole,WAS,24,3,9,2024-10-30
Grant Williams,CHO,17,2,5,2024-10-30
Jalen Brunson,NYK,22,2,9,2024-10-30
Cade Cunningham,DET,22,5,7,2024-10-30
Caris LeVert,CLE,16,0,6,2024-10-30
Chris Paul,SAS,14,5,9,2024-10-30
Anfernee Simons,POR,25,2,6,2024-10-30
Harrison Barnes,SAS,18,4,1,2024-10-30
Brandon Clarke,MEM,13,3,1,2024-10-30
Trayce Jackson-Davis,GSW,15,9,2,2024-10-30
Nikola Vučević,CHI,18,14,5,2024-10-30
Tyrese Haliburton,IND,17,6,12,2024-10-30
Buddy Hield,GSW,21,2,3,2024-10-30
Evan Mobley,CLE,25,5,0,2024-10-30
Anthony Davis,LAL,22,13,2,2024-10-30
Josh Hart,NYK,10,14,6,2024-10-30
Carlton Carrington,WAS,16,6,6,2024-10-30
Ty Jerome,CLE,14,2,4,2024-10-30
Mikal Bridges,NYK,17,3,6,2024-10-30
Chet Holmgren,OKC,19,5,2,2024-10-30
Ziaire Williams,BRK,17,1,3,2024-10-30
Jalen Williams,OKC,12,7,8,2024-10-30
Jose Alvarado,NOP,16,5,4,2024-10-30
Jaden Ivey,DET,23,3,3,2024-10-30
Obi Toppin,IND,18,7,3,2024-10-30
Jalen Suggs,ORL,17,6,5,2024-10-30
James Harden,LAC,19,5,10,2024-10-30
Jeremy Sochan,SAS,17,9,4,2024-10-30
Draymond Green,GSW,14,4,6,2024-10-30
Terry Rozier,MIA,16,4,7,2024-10-30
Coby White,CHI,21,2,3,2024-10-30
Isaiah Stewart,DET,7,11,3,2024-10-30
Deandre Ayton,POR,15,12,1,2024-10-30
Ayo Dosunmu,CHI,12,4,4,2024-10-30
Deni Avdija,POR,13,10,2,2024-10-30
Wendell Carter,ORL,14,7,2,2024-10-30
Ajay Mitchell,OKC,12,4,0,2024-10-30
Jimmy Butler,MIA,15,4,4,2024-10-30
Dalton Knecht,LAL,18,3,1,2024-10-30
Payton Pritchard,BOS,16,4,4,2024-10-30
Kyle Anderson,GSW,10,4,2,2024-10-30
Jaylen Brown,BOS,25,6,5,2024-10-30
Jonathan Mogbo,TOR,11,4,2,2024-10-30
Tim Hardaway,DET,16,0,3,2024-10-30
Brandon Ingram,NOP,14,5,6,2024-10-30
Scoot Henderson,POR,14,3,6,2024-10-30
Jonathan Kuminga,GSW,16,4,2,2024-10-30
Tobias Harris,DET,18,14,1,2024-10-30
Shai Gilgeous-Alexander,OKC,18,4,5,2024-10-30
Zaccharie Risacher,ATL,17,6,2,2024-10-30
Luke Kornet,BOS,8,9,2,2024-10-30
Cam Thomas,BRK,19,2,2,2024-10-30
Jalen Wilson,BRK,12,7,2,2024-10-30
Kyshawn George,WAS,11,2,4,2024-10-30
D'Angelo Russell,LAL,10,3,5,2024-10-30
Jordan Hawkins,NOP,23,4,1,2024-10-30
Alex Sarr,WAS,11,5,2,2024-10-30
David Roddy,ATL,17,4,1,2024-10-30
Cameron Johnson,BRK,14,2,4,2024-10-30
Jamal Shead,TOR,7,2,9,2024-10-30
Chris Boucher,TOR,13,4,1,2024-10-30
Zach Edey,MEM,13,2,1,2024-10-30
Darius Garland,CLE,12,0,10,2024-10-30
Isaiah Jackson,IND,10,5,0,2024-10-30
Davion Mitchell,TOR,11,2,11,2024-10-30
Jeremiah Robinson-Earl,NOP,9,5,3,2024-10-30
Toumani Camara,POR,12,1,1,2024-10-30
Corey Kispert,WAS,16,1,2,2024-10-30
Aaron Nesmith,IND,12,8,3,2024-10-30
Bam Adebayo,MIA,11,3,4,2024-10-30
Malaki Branham,SAS,15,3,0,2024-10-30
Kai Jones,LAC,7,5,1,2024-10-30
Josh Green,CHO,9,2,3,2024-10-30
Jared McCain,PHI,12,3,3,2024-10-30
Kris Murray,POR,5,8,2,2024-10-30
Andre Drummond,PHI,9,11,0,2024-10-30
Ja Morant,MEM,14,8,11,2024-10-30
Patrick Williams,CHI,10,7,2,2024-10-30
Ochai Agbaji,TOR,10,3,3,2024-10-30
Derrick Jones,LAC,9,8,2,2024-10-30
Keaton Wallace,ATL,8,1,2,2024-10-30
Ben Sheppard,IND,7,6,2,2024-10-30
Javonte Green,NOP,5,5,2,2024-10-30
Miles McBride,NYK,10,3,2,2024-10-30
Nikola Jović,MIA,10,6,1,2024-10-30
Brandin Podziemski,GSW,13,8,7,2024-10-30
Jonathan Isaac,ORL,8,5,1,2024-10-30
Nicolas Batum,LAC,5,2,4,2024-10-30
Clint Capela,ATL,12,5,0,2024-10-30
Jaxson Hayes,LAL,6,3,2,2024-10-30
Franz Wagner,ORL,7,3,4,2024-10-30
Ousmane Dieng,OKC,5,5,3,2024-10-30
Ben Simmons,BRK,8,5,3,2024-10-30
Guerschon Yabusele,PHI,8,2,2,2024-10-30
LaMelo Ball,CHO,19,3,6,2024-10-30
Anthony Black,ORL,4,3,6,2024-10-30
OG Anunoby,NYK,11,3,0,2024-10-30
Isaiah Joe,OKC,6,1,2,2024-10-30
Dean Wade,CLE,8,3,2,2024-10-30
Ivica Zubac,LAC,6,12,1,2024-10-30
Malik Beasley,DET,11,3,3,2024-10-30
Rui Hachimura,LAL,8,5,2,2024-10-30
Al Horford,BOS,8,4,1,2024-10-30
Cason Wallace,OKC,9,1,2,2024-10-30
Donovan Clingan,POR,7,6,0,2024-10-30
Neemias Queta,BOS,2,9,1,2024-10-30
T.J. McConnell,IND,10,2,3,2024-10-30
Kelly Oubre,PHI,13,7,1,2024-10-30
Keon Johnson,BRK,4,7,1,2024-10-30
Desmond Bane,MEM,10,6,0,2024-10-30
Zach LaVine,CHI,11,10,3,2024-10-30
Jamal Cain,NOP,7,2,1,2024-10-30
Kris Dunn,LAC,6,2,2,2024-10-30
Keldon Johnson,SAS,9,7,2,2024-10-30
Garrison Mathews,ATL,6,1,2,2024-10-30
Rayan Rupert,POR,7,1,0,2024-10-30
Tidjane Salaün,CHO,3,3,3,2024-10-30
Thomas Bryant,MIA,6,3,0,2024-10-30
Victor Wembanyama,SAS,6,8,2,2024-10-30
Seth Curry,CHO,7,2,1,2024-10-30
Amir Coffey,LAC,9,0,0,2024-10-30
Ron Holland,DET,6,3,0,2024-10-30
Dorian Finney-Smith,BRK,7,5,4,2024-10-30
Moritz Wagner,ORL,7,6,1,2024-10-30
Kyle Lowry,PHI,3,3,2,2024-10-30
KJ Martin,PHI,6,2,0,2024-10-30
Cameron Payne,NYK,0,1,5,2024-10-30
Jaylen Wells,MEM,9,1,4,2024-10-30
Kentavious Caldwell-Pope,ORL,8,1,1,2024-10-30
Sam Merrill,CLE,3,0,3,2024-10-30
Max Christie,LAL,6,1,1,2024-10-30
Kevin Porter,LAC,10,6,1,2024-10-30
Sam Hauser,BOS,5,2,1,2024-10-30
Jaime Jaquez,MIA,8,8,4,2024-10-30
Tristan Thompson,CLE,4,3,1,2024-10-30
Lindy Waters,GSW,3,1,3,2024-10-30
Bronny James,LAL,2,0,2,2024-10-30
Terance Mann,LAC,4,4,3,2024-10-30
Georges Niang,CLE,5,2,2,2024-10-30
Adama Sanogo,CHI,4,1,1,2024-10-30
Simone Fontecchio,DET,2,4,2,2024-10-30
Dru Smith,MIA,2,4,0,2024-10-30
Jrue Holiday,BOS,8,3,4,2024-10-30
John Konchar,MEM,3,3,0,2024-10-30
Reece Beekman,GSW,2,1,0,2024-10-30
Trey Jemison,NOP,2,2,0,2024-10-30
Moses Moody,GSW,8,4,3,2024-10-30
Andrew Nembhard,IND,2,0,1,2024-10-30
Zach Collins,SAS,3,4,1,2024-10-30
Austin Reaves,LAL,7,2,3,2024-10-30
Zion Williamson,NOP,12,12,4,2024-10-30
Kevon Looney,GSW,2,4,1,2024-10-30
Jericho Sims,NYK,2,3,0,2024-10-30
Jared Butler,WAS,2,2,2,2024-10-30
Moussa Diabaté,CHO,0,4,1,2024-10-30
Onyeka Okongwu,ATL,2,3,2,2024-10-30
Brandon Boston,NOP,1,3,2,2024-10-30
Scotty Pippen,MEM,5,0,4,2024-10-30
Larry Nance,ATL,2,0,0,2024-10-30
Eric Gordon,PHI,3,0,1,2024-10-30
Alex Caruso,OKC,0,2,2,2024-10-30
Jett Howard,ORL,3,2,0,2024-10-30
Marvin Bagley,WAS,2,1,0,2024-10-30
Ricky Council,PHI,2,1,0,2024-10-30
Jay Huff,MEM,4,0,0,2024-10-30
Gabe Vincent,LAL,5,0,0,2024-10-30
Aaron Wiggins,OKC,4,3,3,2024-10-30
Miles Bridges,CHO,7,3,2,2024-10-30
Jake LaRavia,MEM,3,7,5,2024-10-30
Sandro Mamukelashvili,SAS,3,5,1,2024-10-30
Patrick Baldwin,WAS,2,0,0,2024-10-30
Sidy Cissoko,SAS,0,1,1,2024-10-30
Marcus Smart,MEM,0,1,1,2024-10-30
Jaylon Tyson,CLE,0,1,1,2024-10-30
Adem Bona,PHI,0,0,0,2024-10-30
Pat Spencer,GSW,0,0,1,2024-10-30
Duncan Robinson,MIA,5,2,0,2024-10-30
Bruno Fernando,TOR,0,1,0,2024-10-30
Shake Milton,BRK,0,1,0,2024-10-30
Isaac Okoro,CLE,3,0,0,2024-10-30
Gary Payton,GSW,0,1,2,2024-10-30
Jabari Walker,POR,0,1,0,2024-10-30
Blake Wesley,SAS,5,1,0,2024-10-30
Julian Phillips,CHI,4,1,0,2024-10-30
Santi Aldama,MEM,2,3,0,2024-10-30
Yongxi Cui,BRK,0,0,0,2024-10-30
Johnny Davis,WAS,0,0,0,2024-10-30
Alex Ducas,OKC,0,0,0,2024-10-30
Anthony Gill,WAS,0,0,0,2024-10-30
Jaylen Martin,BRK,0,0,0,2024-10-30
Tyrese Martin,BRK,0,0,0,2024-10-30
Xavier Tillman,BOS,0,2,0,2024-10-30
Jordan Walsh,BOS,0,1,0,2024-10-30
Adam Flagler,OKC,0,0,0,2024-10-30
Gary Harris,ORL,0,2,1,2024-10-30
Dillon Jones,OKC,0,1,0,2024-10-30
Torrey Craig,CHI,0,2,0,2024-10-30
Matas Buzelis,CHI,0,0,0,2024-10-30
Yuki Kawamura,MEM,0,0,0,2024-10-30
Gui Santos,GSW,0,0,0,2024-10-30
Jerami Grant,POR,8,3,1,2024-10-30
Caleb Martin,PHI,7,5,1,2024-10-30
Yves Missi,NOP,0,3,1,2024-10-30
Julian Champagnie,SAS,3,3,0,2024-10-30
Noah Clowney,BRK,5,2,0,2024-10-30
Jamison Battle,TOR,0,3,0,2024-10-30
Cam Reddish,LAL,0,1,0,2024-10-30
Stephon Castle,SAS,0,2,1,2024-10-30
Jalen Duren,DET,0,6,1,2024-10-30
Daniel Theis,NOP,0,3,0,2024-10-30
Dalen Terry,CHI,2,2,0,2024-10-30
Jarace Walker,IND,0,1,0,2024-10-30
